x,y,z,Bx,By,Bz
-19551.0,-3053.0,0.0,19.793808,4.253477,-1.2000024
-19551.0,-2553.0,0.0,20.139175,3.5638478,-1.1647519
-19551.0,-2053.0,0.0,20.407925,2.8505177,-1.1353835
-19551.0,-1553.0,0.0,20.598276,2.118907,-1.1108432
-19551.0,-1053.0,0.0,20.709955,1.3750092,-1.0903583
-19551.0,-553.0,0.0,20.743929,0.62533426,-1.0737078
-19551.0,-53.0,0.0,20.702122,-0.12283771,-1.0610323
-19551.0,447.0,0.0,20.58704,-0.86172193,-1.0529416
-19551.0,947.0,0.0,20.401548,-1.5832902,-1.0501612
-19551.0,1447.0,0.0,20.149033,-2.2797441,-1.0536584
-19551.0,1947.0,0.0,19.832872,-2.9439714,-1.0640962
-19551.0,2447.0,0.0,19.4571,-3.5699914,-1.081832
-19551.0,2947.0,0.0,19.025976,-4.1534047,-1.106522
-19551.0,3447.0,0.0,18.544735,-4.691422,-1.1373799
-19551.0,3947.0,0.0,18.019032,-5.182945,-1.1729342
-19551.0,4447.0,0.0,17.455015,-5.628283,-1.2114273
-19551.0,4947.0,0.0,16.859482,-6.0286546,-1.2511845
-19551.0,5447.0,0.0,16.239311,-6.385743,-1.290821
-19551.0,5947.0,0.0,15.601353,-6.7012496,-1.3294525
-19551.0,6447.0,0.0,14.952114,-6.976644,-1.3667129
-19551.0,6947.0,0.0,14.297467,-7.21311,-1.4025666
-19551.0,7447.0,0.0,13.642804,-7.4114733,-1.4372678
-19551.0,7947.0,0.0,12.992635,-7.5724444,-1.4709306
-19551.0,8447.0,0.0,12.35062,-7.6968412,-1.5035884
-19551.0,8947.0,0.0,11.71988,-7.7856183,-1.534942
-19551.0,9447.0,0.0,11.102618,-7.840005,-1.5644021
-19551.0,9947.0,0.0,10.500706,-7.8616223,-1.5912582
-19551.0,10447.0,0.0,9.91552,-7.8522787,-1.6147288
-19551.0,10947.0,0.0,9.348106,-7.814181,-1.6341194
-19551.0,11447.0,0.0,8.799245,-7.749651,-1.6487824
-19551.0,11947.0,0.0,8.269568,-7.6611996,-1.6584007
-19551.0,12447.0,0.0,7.759484,-7.551435,-1.662858
-19551.0,12947.0,0.0,7.269379,-7.423028,-1.6623533
-19551.0,13447.0,0.0,6.799547,-7.278582,-1.6573242
-19551.0,13947.0,0.0,6.3501215,-7.1208887,-1.6483558
-19551.0,14447.0,0.0,5.9210787,-6.9525347,-1.636127
-19551.0,14947.0,0.0,5.512453,-6.7762394,-1.621473
-19551.0,15447.0,0.0,5.1240115,-6.5945935,-1.6051574
-19551.0,15947.0,0.0,4.755556,-6.410147,-1.5878414
-19551.0,16447.0,0.0,4.406659,-6.2253747,-1.5701234
-19551.0,16947.0,0.0,4.076807,-6.0426702,-1.5523832
-19551.0,17447.0,0.0,3.7655656,-5.864267,-1.5348885
-19551.0,17947.0,0.0,3.4721518,-5.6921787,-1.5176083
-19551.0,18447.0,0.0,3.195893,-5.528304,-1.5003592
-19551.0,18947.0,0.0,2.9361532,-5.3743362,-1.4826859
-19551.0,19447.0,0.0,2.691956,-5.2315297,-1.4640278
-19551.0,19947.0,0.0,2.4627056,-5.101166,-1.443543
-19051.0,-20053.0,0.0,1.7203398,5.1112576,-1.8084539
-19051.0,-19553.0,0.0,1.9324841,5.3517723,-1.8568623
