x,y,z,Bx,By,Bz
4949.000000,-15053.000000,0.000000,-12.612142,3.804871,-14.307753
3949.000000,17947.000000,0.000000,-10.059952,-4.813088,-8.560195
-19051.000000,-10053.000000,0.000000,10.942256,9.603926,-2.001437
8949.000000,-53.000000,0.000000,-128.520698,2.529104,-134.132663
-19051.000000,14947.000000,0.000000,5.629758,-7.192186,-1.702363
-14051.000000,-19053.000000,0.000000,0.946536,8.005382,-2.764172
12949.000000,1947.000000,0.000000,3.787299,10.456009,-59.157764
-16051.000000,947.000000,0.000000,37.359696,-4.613953,1.662304
-14051.000000,3947.000000,0.000000,42.310537,-18.724500,4.011515
16949.000000,1947.000000,0.000000,10.960931,5.065690,-25.404099
-8051.000000,17947.000000,0.000000,-0.309254,-13.820308,-3.569696
-17051.000000,-20053.000000,0.000000,1.391355,5.915502,-2.074586
-14051.000000,-15053.000000,0.000000,4.209864,13.257985,-3.214288
1949.000000,-7053.000000,0.000000,-6.214610,103.287686,5.781397
10949.000000,15947.000000,0.000000,-6.480611,4.040030,-10.456875
-3051.000000,-10053.000000,0.000000,-20.002387,45.600538,-18.957037
-6051.000000,-10053.000000,0.000000,-12.891287,63.282613,-7.380904
-15051.000000,-15053.000000,0.000000,4.575491,11.967858,-2.931151
10949.000000,4947.000000,0.000000,-19.830730,15.128527,-62.138921
6949.000000,16947.000000,0.000000,-9.972885,-0.644362,-10.170897
10949.000000,-20053.000000,0.000000,-3.388976,-3.158268,-6.405702
-12051.000000,-4053.000000,0.000000,82.689616,32.281100,19.959520
-6051.000000,-12053.000000,0.000000,-8.261082,36.656592,-9.590942
12949.000000,18947.000000,0.000000,-3.431767,3.282472,-6.324425
7949.000000,-7053.000000,0.000000,-73.038981,16.306417,-62.107611
-5051.000000,-9053.000000,0.000000,-27.832644,78.235314,-9.328783
-4051.000000,-16053.000000,0.000000,-7.336866,14.212740,-8.430309
-19051.000000,5947.000000,0.000000,16.709269,-7.412380,-1.252388
-11051.000000,8947.000000,0.000000,26.779431,-33.890197,2.694719
-13051.000000,8947.000000,0.000000,22.730940,-23.765239,0.323937
-17051.000000,-2053.000000,0.000000,31.603912,4.389860,0.331964
-12051.000000,4947.000000,0.000000,50.398616,-32.384890,8.951762
-1051.000000,6947.000000,0.000000,-36.056396,-154.246640,94.168731
13949.000000,18947.000000,0.000000,-2.807952,3.469753,-5.998523
14949.000000,16947.000000,0.000000,-2.306961,4.521049,-7.154054
15949.000000,13947.000000,0.000000,-1.150126,6.142992,-9.433017
17949.000000,16947.000000,0.000000,-0.597133,4.214164,-5.721504
-14051.000000,-5053.000000,0.000000,46.664523,22.562849,4.466709
-4051.000000,-8053.000000,0.000000,-46.605043,85.938630,-15.948465
-10051.000000,-15053.000000,0.000000,0.551014,18.115922,-4.913207
5949.000000,3947.000000,0.000000,-189.209458,-123.823636,15.127362
18949.000000,5947.000000,0.000000,6.322363,6.274424,-14.285469
949.000000,19947.000000,0.000000,-7.150085,-6.474730,-5.939889
12949.000000,-8053.000000,0.000000,-1.113053,-13.653226,-33.821729
-16051.000000,-53.000000,0.000000,38.511078,-1.494841,1.805894
6949.000000,12947.000000,0.000000,-19.221321,-2.147976,-19.464702
-12051.000000,3947.000000,0.000000,58.501672,-31.659235,11.620696
-51.000000,4947.000000,0.000000,-57.955007,-128.388936,190.017088
-12051.000000,1947.000000,0.000000,76.206452,-25.754576,17.723309
-9051.000000,18947.000000,0.000000,0.034524,-11.440664,-3.163633
14949.000000,-11053.000000,0.000000,0.911205,-9.422582,-16.641506
3949.000000,-4053.000000,0.000000,-19.257015,172.078316,260.959522
11949.000000,-18053.000000,0.000000,-3.359980,-4.363687,-7.988742
-2051.000000,-13053.000000,0.000000,-12.637092,22.861875,-14.024808
-15051.000000,11947.000000,0.000000,11.296176,-14.381794,-1.772509
11949.000000,2947.000000,0.000000,-6.578542,14.135602,-67.428222
